"codigo","situacao","nome","descricao","mensagem","parametros"
"ELIM0507","Ativa","Valida elementos 31 e 32 da conta 890.30.02","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0508","Ativa","Valida elementos 31 e 32 da conta 890.30.03","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0509","Ativa","Valida elementos 31 e 32 da conta 890.40.01","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0510","Ativa","Valida elementos 31 e 32 da conta 890.40.02","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0511","Ativa","Valida elementos 31 e 32 da conta 890.40.03","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0512","Ativa","Valida elementos 31 e 32 da conta 890.80.01","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0513","Ativa","Valida elementos 31 e 32 da conta 890.99.01","A instituição informou estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente). Espera-se que tais valores tenham sinais opostos, não podendo assumir valores nulos caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","A instituição informou valores para estimativas da variação do valor de mercado das operações não classificadas na carteira de negociação com utilização de choques compatíveis com o 1º e 99º percentil (elementos 31 e 32, respectivamente), em desacordo com o esperado e também em desacordo com as instruções de preenchimento do DLO, pois não apresentam sinais opostos, ou ainda, algum dos elementos assume valor nulo caso algum valor não nulo tenha sido informado para um dos elementos 31 e 32.","System.Object[]"
"ELIM0515","Ativa","Validas saldo da conta 142.02.01","Verifica se a soma dos valores contábeis (elemento 2) das contas 526.01, 526.02, 526.03 e 527.01 batem com o saldo da conta 142.02.01","A soma dos valores contábeis (elemento 2) das contas 526.01, 526.02, 526.03 e 527.01 (R$ VL1) diverge do saldo da conta 142.02.01 (R$ VL2).","System.Object[]"
"ELIM0516","Ativa","Valida saldo da conta 142.01","Verifica se a soma dos valores contábeis (elemento 2) das contas 510.01, 510.02, 510.03 e 570.01 batem com o saldo da conta 142.01","A soma dos valores contábeis (elemento 2) das contas 510.01, 510.02, 510.03 e 570.01 (R$ VL1) diverge do saldo da conta 142.01 (R$ VL2).","System.Object[]"
"ELIM0517","Ativa","Valida saldo da conta 142.07.01","Verifica se a soma dos valores contábeis (elemento 2) das contas 560.05 e 560.06 batem com o saldo da conta 142.07.01","A soma dos valores contábeis (elemento 2) das contas 560.05 e 560.06 (R$ vl1) diverge do saldo da conta 142.07.01 (R$ vl2).","System.Object[]"
